epoch,inner_epoch,_step,history_step_num,loss,approx_kl,clipfrac,reward,reward_mean,reward_std,_runtime,_timestamp,images/_type,images/captions,images/count,images/filenames,images/format,images/height,images/width
0,0,0,0,1.0546396443739945,3.8381747780036335e-10,0.03999999910593033,"[-137.261, -146.508, -42.959, -80.86]",-101.897,42.29951840742398,30.396107149,1776521103.215295,images/separated,"['howler monkey, howler | -80.86']",1,['media/images/images_0_af42085cbf083b829d5e.jpg'],jpg,256,256
0,0,1,1,-0.4973281799595808,9.511450516086484e-10,0.03999999910593033,,,,38.492509889,1776521111.3077695,,,,,,,
0,0,2,2,-1.3933204302395923,3.815024740561057e-09,0.03999999910593033,,,,46.622998841,1776521119.4040976,,,,,,,
0,0,3,3,0.836024110910638,2.3972157592311305e-08,0.09999999403953552,,,,55.430687722,1776521127.534541,,,,,,,
1,0,4,4,-0.5248650688768493,4.973972345112543e-10,0.019999999552965164,"[-69.279, -91.542, -126.257, -134.32]",-105.34949999999999,26.30656502187239,71.211119808,1776521144.2183292,images/separated,['scorpion | -134.32'],1,['media/images/images_3_f1534d8b8ea675ccc6a4.jpg'],jpg,256,256
1,0,5,5,0.7947583107299013,1.4381269508589867e-09,0.019999999552965164,,,,79.186671935,1776521152.1227226,,,,,,,
1,0,6,6,1.1012553082404308,2.1468760103005025e-09,0.05999999865889549,,,,87.213156525,1776521160.0981252,,,,,,,
1,0,7,7,-1.3711367413967204,1.3428197442877376e-09,0.03999999910593033,,,,96.174664481,1776521168.1246367,,,,,,,
2,0,8,8,-0.15000992360276144,5.183651077822482e-11,0,"[-108.115, -97.259, -130.363, -104.161]",-109.97449999999999,12.395860145629266,111.854516743,1776521184.9133134,images/separated,"['howler monkey, howler | -104.16']",1,['media/images/images_7_f2185159842fbe40f6f1.jpg'],jpg,256,256
2,0,9,9,-1.0257791837243664,4.4448889013892767e-10,0.019999999552965164,,,,119.55444334,1776521192.7660713,,,,,,,
2,0,10,10,-0.46898156823330717,8.431613740533805e-10,0.019999999552965164,,,,127.228493887,1776521200.4661422,,,,,,,
